chr	start	end	refStart_noChr	refEnd_noChr
chr12	14971042	14973542	1918522689	1918525189
chr12	15320257	15322757	1918871904	1918874404
chr12	15348175	15350675	1918899822	1918902322
chr12	15880387	15884329	1919432034	1919435976
chr12	15909302	15911802	1919460949	1919463449
chr12	16277185	16279685	1919828832	1919831332
chr12	16345142	16347642	1919896789	1919899289
chr12	16610094	16612594	1920161741	1920164241
chr12	18240961	18243461	1921792608	1921795108
chr12	18319607	18322107	1921871254	1921873754
chr12	18736119	18740100	1922287766	1922291747
chr12	19127669	19130169	1922679316	1922681816
chr12	19402045	19404545	1922953692	1922956192
chr12	20366537	20369037	1923918184	1923920684
chr12	20693332	20695832	1924244979	1924247479
chr12	20808702	20811202	1924360349	1924362849
chr12	20813674	20816174	1924365321	1924367821
chr12	21045179	21047679	1924596826	1924599326
chr12	21129194	21131694	1924680841	1924683341
chr12	21352959	21355459	1924904606	1924907106
chr12	21419094	21421594	1924970741	1924973241
chr12	21435615	21438115	1924987262	1924989762
chr12	21499781	21503669	1925051428	1925055316
chr12	21524296	21526796	1925075943	1925078443
chr12	21604347	21606847	1925155994	1925158494
chr12	21657298	21659798	1925208945	1925211445
chr12	21757357	21759857	1925309004	1925311504
chr12	21775100	21777600	1925326747	1925329247
chr12	21942043	21944543	1925493690	1925496190
chr12	22044218	22046718	1925595865	1925598365
chr12	22436541	22439041	1925988188	1925990688
chr12	22544046	22546546	1926095693	1926098193
chr12	22623075	22625575	1926174722	1926177222
chr12	24562044	24564544	1928113691	1928116191
chr12	24948601	24951101	1928500248	1928502748
chr12	25002342	25004842	1928553989	1928556489
chr12	25193216	25197162	1928744863	1928748809
chr12	25250436	25252936	1928802083	1928804583
chr12	25648079	25650579	1929199726	1929202226
chr12	25956232	25958732	1929507879	1929510379
chr12	26119991	26122491	1929671638	1929674138
chr12	26124537	26127037	1929676184	1929678684
chr12	26832694	26835194	1930384341	1930386841
chr12	26936470	26940326	1930488117	1930491973
chr12	27013934	27016434	1930565581	1930568081
chr12	27020546	27023046	1930572193	1930574693
chr12	27082078	27084578	1930633725	1930636225
chr12	27241968	27244468	1930793615	1930796115
chr12	27330836	27333336	1930882483	1930884983
chr12	27444736	27447236	1930996383	1930998883
chr12	27521431	27523931	1931073078	1931075578
chr12	27694447	27696947	1931246094	1931248594
chr12	27708822	27711322	1931260469	1931262969
chr12	27778048	27782236	1931329695	1931333883
chr12	27972233	27974733	1931523880	1931526380
chr12	28131249	28133749	1931682896	1931685396
chr12	29147016	29149516	1932698663	1932701163
chr12	29380689	29383189	1932932336	1932934836
chr12	29497186	29499686	1933048833	1933051333
chr12	29784259	29786759	1933335906	1933338406
chr12	30695369	30697869	1934247016	1934249516
chr12	30822802	30825302	1934374449	1934376949
chr12	30924428	30926928	1934476075	1934478575
chr12	31071860	31074360	1934623507	1934626007
chr12	31326558	31329058	1934878205	1934880705
chr12	31590636	31593136	1935142283	1935144783
chr12	31645160	31647660	1935196807	1935199307
chr12	31651595	31654095	1935203242	1935205742
chr12	31728621	31731121	1935280268	1935282768
chr12	31791798	31794298	1935343445	1935345945
chr12	31957370	31959870	1935509017	1935511517
chr12	32104835	32107335	1935656482	1935658982
chr12	32397558	32400058	1935949205	1935951705
chr12	32677200	32679700	1936228847	1936231347
chr12	32755397	32757897	1936307044	1936309544
chr12	32896298	32898798	1936447945	1936450445
chr12	33439319	33441819	1936990966	1936993466
chr12	34020468	34022968	1937572115	1937574615
chr12	38314762	38317262	1941866409	1941868909
chr12	38906930	38909430	1942458577	1942461077
chr12	39442890	39445390	1942994537	1942997037
chr12	39619303	39621803	1943170950	1943173450
chr12	39624167	39626667	1943175814	1943178314
chr12	40105589	40108089	1943657236	1943659736
chr12	40194744	40197244	1943746391	1943748891
chr12	40391395	40393895	1943943042	1943945542
chr12	40690439	40692939	1944242086	1944244586
chr12	41186320	41188820	1944737967	1944740467
chr12	42144374	42146874	1945696021	1945698521
chr12	42236447	42240349	1945788094	1945791996
chr12	42325757	42328257	1945877404	1945879904
chr12	42589855	42592355	1946141502	1946144002
chr12	43551703	43554203	1947103350	1947105850
chr12	43756944	43760793	1947308591	1947312440
chr12	43805828	43808328	1947357475	1947359975
chr12	43833967	43836467	1947385614	1947388114
chr12	44921348	44923848	1948472995	1948475495
chr12	45050599	45053099	1948602246	1948604746
chr12	45213987	45216487	1948765634	1948768134
chr12	45727706	45730206	1949279353	1949281853
chr12	45991620	45994120	1949543267	1949545767
chr12	46269517	46272017	1949821164	1949823664
chr12	46372273	46374773	1949923920	1949926420
chr12	46831908	46834408	1950383555	1950386055
chr12	47077603	47081959	1950629250	1950633606
chr12	47705530	47708030	1951257177	1951259677
chr12	47725067	47727567	1951276714	1951279214
chr12	47751916	47754416	1951303563	1951306063
chr12	47770540	47773040	1951322187	1951324687
chr12	47832632	47835132	1951384279	1951386779
chr12	47942548	47945048	1951494195	1951496695
chr12	47961569	47964069	1951513216	1951515716
chr12	48004054	48006554	1951555701	1951558201
chr12	48103139	48108079	1951654786	1951659726
chr12	48180713	48184144	1951732360	1951735791
chr12	48202792	48205292	1951754439	1951756939
chr12	48326980	48329480	1951878627	1951881127
chr12	48350914	48353414	1951902561	1951905061
chr12	48470559	48473059	1952022206	1952024706
chr12	48480498	48482998	1952032145	1952034645
chr12	48523632	48526132	1952075279	1952077779
chr12	48557882	48560382	1952109529	1952112029
chr12	48569566	48572066	1952121213	1952123713
chr12	48681738	48684238	1952233385	1952235885
chr12	48716498	48718998	1952268145	1952270645
chr12	48725435	48727935	1952277082	1952279582
chr12	48788589	48791089	1952340236	1952342736
chr12	48811794	48814294	1952363441	1952365941
chr12	48852342	48854842	1952403989	1952406489
chr12	48865370	48867870	1952417017	1952419517
chr12	48902110	48904610	1952453757	1952456257
chr12	48925974	48928474	1952477621	1952480121
chr12	48956865	48959487	1952508512	1952511134
chr12	48971235	48973735	1952522882	1952525382
chr12	48976322	48978822	1952527969	1952530469
chr12	48998875	49001375	1952550522	1952553022
chr12	49018307	49020807	1952569954	1952572454
chr12	49023575	49026075	1952575222	1952577722
chr12	49060294	49062794	1952611941	1952614441
chr12	49069525	49072025	1952621172	1952623672
chr12	49094301	49096801	1952645948	1952648448
chr12	49110400	49112900	1952662047	1952664547
chr12	49130897	49133397	1952682544	1952685044
chr12	49186736	49191080	1952738383	1952742727
chr12	49293147	49295647	1952844794	1952847294
chr12	49321236	49323736	1952872883	1952875383
chr12	49336688	49339188	1952888335	1952890835
chr12	49344888	49347388	1952896535	1952899035
chr12	49364584	49367084	1952916231	1952918731
chr12	49537030	49539530	1953088677	1953091177
chr12	49566218	49570145	1953117865	1953121792
chr12	49605139	49607639	1953156786	1953159286
chr12	49705725	49710165	1953257372	1953261812
chr12	49828250	49830750	1953379897	1953382397
chr12	49842606	49845106	1953394253	1953396753
chr12	49903717	49906217	1953455364	1953457864
chr12	49948737	49951237	1953500384	1953502884
chr12	49959872	49962372	1953511519	1953514019
chr12	49965194	49967694	1953516841	1953519341
chr12	50032636	50035136	1953584283	1953586783
chr12	50055548	50058048	1953607195	1953609695
chr12	50083200	50085700	1953634847	1953637347
chr12	50101982	50104482	1953653629	1953656129
chr12	50110082	50112582	1953661729	1953664229
chr12	50167033	50169533	1953718680	1953721180
chr12	50283020	50285520	1953834667	1953837167
chr12	50390383	50392883	1953942030	1953944530
chr12	50396122	50398622	1953947769	1953950269
chr12	50502985	50505485	1954054632	1954057132
chr12	50761710	50764210	1954313357	1954315857
chr12	50840920	50843420	1954392567	1954395067
chr12	50921472	50925469	1954473119	1954477116
chr12	50950538	50953038	1954502185	1954504685
chr12	51028066	51030566	1954579713	1954582213
chr12	51045962	51048462	1954597609	1954600109
chr12	51083164	51085664	1954634811	1954637311
chr12	51172635	51175135	1954724282	1954726782
chr12	51217562	51220062	1954769209	1954771709
chr12	51236724	51239224	1954788371	1954790871
chr12	51269915	51272415	1954821562	1954824062
chr12	51324168	51326668	1954875815	1954878315
chr12	51346179	51348679	1954897826	1954900326
chr12	51389317	51391817	1954940964	1954943464
chr12	51392367	51394867	1954944014	1954946514
chr12	51588266	51590766	1955139913	1955142413
chr12	51814425	51816925	1955366072	1955368572
chr12	51848218	51850718	1955399865	1955402365
chr12	51886009	51888509	1955437656	1955440156
chr12	51904908	51907408	1955456555	1955459055
chr12	51949699	51952199	1955501346	1955503846
chr12	52004946	52007446	1955556593	1955559093
chr12	52020832	52023332	1955572479	1955574979
chr12	52067246	52069746	1955618893	1955621393
chr12	52077704	52080204	1955629351	1955631851
chr12	52191514	52194014	1955743161	1955745661
chr12	52230520	52233020	1955782167	1955784667
chr12	52247300	52249800	1955798947	1955801447
chr12	52291034	52293534	1955842681	1955845181
chr12	52320898	52323398	1955872545	1955875045
chr12	52366981	52369481	1955918628	1955921128
chr12	52385152	52387652	1955936799	1955939299
chr12	52405835	52408335	1955957482	1955959982
chr12	52433871	52436371	1955985518	1955988018
chr12	52451646	52454146	1956003293	1956005793
chr12	52473305	52475805	1956024952	1956027452
chr12	52492757	52495257	1956044404	1956046904
chr12	52520030	52522530	1956071677	1956074177
chr12	52552645	52555145	1956104292	1956106792
chr12	52573343	52575843	1956124990	1956127490
chr12	52601038	52603538	1956152685	1956155185
chr12	52618059	52620559	1956169706	1956172206
chr12	52651711	52654211	1956203358	1956205858
chr12	52679907	52682407	1956231554	1956234054
chr12	52703024	52705524	1956254671	1956257171
chr12	52776845	52779345	1956328492	1956330992
chr12	52795617	52798117	1956347264	1956349764
chr12	52813616	52816116	1956365263	1956367763
chr12	52833811	52836311	1956385458	1956387958
chr12	52848592	52851092	1956400239	1956402739
chr12	52946871	52949371	1956498518	1956501018
chr12	52949454	52951954	1956501101	1956503601
chr12	53004282	53006782	1956555929	1956558429
chr12	53044969	53047469	1956596616	1956599116
chr12	53078904	53081404	1956630551	1956633051
chr12	53095436	53097936	1956647083	1956649583
chr12	53101486	53103986	1956653133	1956655633
chr12	53178704	53182925	1956730351	1956734572
chr12	53206782	53209282	1956758429	1956760929
chr12	53232480	53234980	1956784127	1956786627
chr12	53239900	53242400	1956791547	1956794047
chr12	53249251	53251751	1956800898	1956803398
chr12	53266299	53268799	1956817946	1956820446
chr12	53293291	53295791	1956844938	1956847438
chr12	53297695	53300195	1956849342	1956851842
chr12	53324364	53326864	1956876011	1956878511
chr12	53344815	53347315	1956896462	1956898962
chr12	53378176	53380676	1956929823	1956932323
chr12	53421855	53424355	1956973502	1956976002
chr12	53439678	53442178	1956991325	1956993825
chr12	53450102	53452602	1957001749	1957004249
chr12	53498921	53502063	1957050568	1957053710
chr12	53506984	53509484	1957058631	1957061131
chr12	53625479	53628410	1957177126	1957180057
chr12	53676908	53679408	1957228555	1957231055
chr12	53727245	53729745	1957278892	1957281392
chr12	53936831	53939331	1957488478	1957490978
chr12	53952903	53955403	1957504550	1957507050
chr12	53971126	53973626	1957522773	1957525273
chr12	53983065	53986345	1957534712	1957537992
chr12	53988624	53991124	1957540271	1957542771
chr12	53992895	53995395	1957544542	1957547042
chr12	54006985	54009485	1957558632	1957561132
chr12	54014931	54017431	1957566578	1957569078
chr12	54031050	54033550	1957582697	1957585197
chr12	54188508	54191008	1957740155	1957742655
chr12	54278193	54282133	1957829840	1957833780
chr12	54299202	54303015	1957850849	1957854662
chr12	54363987	54366487	1957915634	1957918134
chr12	54390798	54393298	1957942445	1957944945
chr12	54418766	54421266	1957970413	1957972913
chr12	54473102	54475602	1958024749	1958027249
chr12	54495752	54498252	1958047399	1958049899
chr12	54547601	54550101	1958099248	1958101748
chr12	54588159	54590659	1958139806	1958142306
chr12	54634395	54636895	1958186042	1958188542
chr12	54647993	54650493	1958199640	1958202140
chr12	54828518	54831018	1958380165	1958382665
chr12	54984262	54986762	1958535909	1958538409
chr12	55017974	55020474	1958569621	1958572121
chr12	55124406	55126906	1958676053	1958678553
chr12	55219025	55221525	1958770672	1958773172
chr12	55242609	55245109	1958794256	1958796756
chr12	55296069	55298569	1958847716	1958850216
chr12	55312343	55314843	1958863990	1958866490
chr12	55328043	55330543	1958879690	1958882190
chr12	55360975	55363475	1958912622	1958915122
chr12	55398529	55401029	1958950176	1958952676
chr12	55424254	55426754	1958975901	1958978401
chr12	55442069	55444569	1958993716	1958996216
chr12	55469638	55472138	1959021285	1959023785
chr12	55490378	55492878	1959042025	1959044525
chr12	55547602	55550102	1959099249	1959101749
chr12	55570468	55572968	1959122115	1959124615
chr12	55634892	55637392	1959186539	1959189039
chr12	55679736	55682236	1959231383	1959233883
chr12	55714036	55720867	1959265683	1959272514
chr12	55729207	55731707	1959280854	1959283354
chr12	55741122	55743622	1959292769	1959295269
chr12	55816041	55819724	1959367688	1959371371
chr12	55827046	55829546	1959378693	1959381193
chr12	55830324	55832824	1959381971	1959384471
chr12	55842466	55844966	1959394113	1959396613
chr12	55925319	55927819	1959476966	1959479466
chr12	55932118	55934618	1959483765	1959486265
chr12	55964781	55967281	1959516428	1959518928
chr12	55971913	55975317	1959523560	1959526964
chr12	55995180	55997680	1959546827	1959549327
chr12	56005659	56008159	1959557306	1959559806
chr12	56039351	56041851	1959590998	1959593498
chr12	56074799	56077299	1959626446	1959628946
chr12	56099331	56101831	1959650978	1959653478
chr12	56102537	56105037	1959654184	1959656684
chr12	56114590	56118760	1959666237	1959670407
chr12	56150256	56152756	1959701903	1959704403
chr12	56156346	56158846	1959707993	1959710493
chr12	56189067	56191567	1959740714	1959743214
chr12	56220015	56223933	1959771662	1959775580
chr12	56228049	56230549	1959779696	1959782196
chr12	56257884	56260384	1959809531	1959812031
chr12	56264890	56267390	1959816537	1959819037
chr12	56299891	56302391	1959851538	1959854038
chr12	56315559	56318119	1959867206	1959869766
chr12	56332174	56336053	1959883821	1959887700
chr12	56359703	56362203	1959911350	1959913850
chr12	56362357	56364857	1959914004	1959916504
chr12	56448926	56451426	1960000573	1960003073
chr12	56466578	56471166	1960018225	1960022813
chr12	56487670	56490414	1960039317	1960042061
chr12	56519820	56522320	1960071467	1960073967
chr12	56636316	56638816	1960187963	1960190463
chr12	56645484	56647984	1960197131	1960199631
chr12	56687908	56690408	1960239555	1960242055
chr12	56731128	56733628	1960282775	1960285275
chr12	56741035	56743535	1960292682	1960295182
chr12	56750161	56754374	1960301808	1960306021
chr12	56933908	56936408	1960485555	1960488055
chr12	56958874	56961374	1960510521	1960513021
chr12	56992492	56994992	1960544139	1960546639
chr12	57006046	57008546	1960557693	1960560193
chr12	57028383	57030883	1960580030	1960582530
chr12	57050698	57053198	1960602345	1960604845
chr12	57087043	57090063	1960638690	1960641710
chr12	57126483	57128983	1960678130	1960680630
chr12	57131639	57134139	1960683286	1960685786
chr12	57214794	57217294	1960766441	1960768941
chr12	57227573	57230073	1960779220	1960781720
chr12	57240215	57242715	1960791862	1960794362
chr12	57250688	57253188	1960802335	1960804835
chr12	57295984	57298484	1960847631	1960850131
chr12	57430543	57435284	1960982190	1960986931
chr12	57450323	57452823	1961001970	1961004470
chr12	57457785	57460285	1961009432	1961011932
chr12	57473445	57475945	1961025092	1961027592
chr12	57488314	57490814	1961039961	1961042461
chr12	57518710	57523737	1961070357	1961075384
chr12	57544026	57546526	1961095673	1961098173
chr12	57546724	57549224	1961098371	1961100871
chr12	57589174	57591674	1961140821	1961143321
chr12	57602622	57605122	1961154269	1961156769
chr12	57608180	57610680	1961159827	1961162327
chr12	57613280	57615780	1961164927	1961167427
chr12	57632739	57635239	1961184386	1961186886
chr12	57691841	57694341	1961243488	1961245988
chr12	57736013	57738513	1961287660	1961290160
chr12	57741657	57744157	1961293304	1961295804
chr12	57753103	57758013	1961304750	1961309660
chr12	57768486	57774119	1961320133	1961325766
chr12	57780761	57783261	1961332408	1961334908
chr12	57818234	57820734	1961369881	1961372381
chr12	57846229	57848729	1961397876	1961400376
chr12	57904039	57906539	1961455686	1961458186
chr12	58920004	58922504	1962471651	1962474151
chr12	59594029	59596529	1963145676	1963148176
chr12	62258338	62260838	1965809985	1965812485
chr12	62278650	62281150	1965830297	1965832797
chr12	62464817	62467317	1966016464	1966018964
chr12	62934650	62937150	1966486297	1966488797
chr12	63150701	63153201	1966702348	1966704848
chr12	63668439	63670939	1967220086	1967222586
chr12	63777833	63780333	1967329480	1967331980
chr12	63841761	63844261	1967393408	1967395908
chr12	64221796	64224296	1967773443	1967775943
chr12	64390258	64392758	1967941905	1967944405
chr12	64402392	64404892	1967954039	1967956539
chr12	64450090	64452590	1968001737	1968004237
chr12	64505001	64507501	1968056648	1968059148
chr12	64757484	64761431	1968309131	1968313078
chr12	65120805	65123305	1968672452	1968674952
chr12	65167583	65170083	1968719230	1968721730
chr12	65276643	65279143	1968828290	1968830790
chr12	65822460	65824960	1969374107	1969376607
chr12	66130250	66132750	1969681897	1969684397
chr12	66169485	66172027	1969721132	1969723674
chr12	66187195	66189695	1969738842	1969741342
chr12	66300493	66302993	1969852140	1969854640
chr12	67068662	67071162	1970620309	1970622809
chr12	67267358	67269858	1970819005	1970821505
chr12	67646338	67648838	1971197985	1971200485
chr12	68159240	68161740	1971710887	1971713387
chr12	68225310	68227810	1971776957	1971779457
chr12	68253104	68255604	1971804751	1971807251
chr12	68331881	68334381	1971883528	1971886028
chr12	68608855	68611355	1972160502	1972163002
chr12	68684951	68687451	1972236598	1972239098
chr12	68744125	68746625	1972295772	1972298272
chr12	68806177	68808677	1972357824	1972360324
chr12	68971070	68973570	1972522717	1972525217
chr12	69237569	69240069	1972789216	1972791716
chr12	69346381	69348881	1972898028	1972900528
chr12	69357710	69360210	1972909357	1972911857
chr12	69468349	69470849	1973019996	1973022496
chr12	69583426	69585926	1973135073	1973137573
chr12	69610407	69612907	1973162054	1973164554
chr12	69698976	69701476	1973250623	1973253123
chr12	69736860	69739360	1973288507	1973291007
chr12	69799669	69802169	1973351316	1973353816
chr12	69823227	69825727	1973374874	1973377374
chr12	70241002	70243502	1973792649	1973795149
chr12	70364290	70366790	1973915937	1973918437
chr12	70636940	70639440	1974188587	1974191087
chr12	70920238	70922738	1974471885	1974474385
chr12	71437798	71440298	1974989445	1974991945
chr12	71441398	71443898	1974993045	1974995545
chr12	71662301	71664801	1975213948	1975216448
chr12	71667225	71669725	1975218872	1975221372
chr12	71672204	71674704	1975223851	1975226351
chr12	71684082	71686582	1975235729	1975238229
chr12	71752863	71755363	1975304510	1975307010
chr12	71837707	71840207	1975389354	1975391854
chr12	71936845	71939345	1975488492	1975490992
chr12	72085266	72087766	1975636913	1975639413
chr12	74535835	74538335	1978087482	1978089982
chr12	75209339	75211839	1978760986	1978763486
chr12	75332670	75335170	1978884317	1978886817
chr12	75389089	75392928	1978940736	1978944575
chr12	75478753	75481253	1979030400	1979032900
chr12	75511136	75513636	1979062783	1979065283
chr12	76031276	76033776	1979582923	1979585423
chr12	76084235	76086735	1979635882	1979638382
chr12	76347915	76350415	1979899562	1979902062
chr12	76559309	76561809	1980110956	1980113456
chr12	76762103	76764603	1980313750	1980316250
chr12	76878523	76881023	1980430170	1980432670
chr12	77065069	77067569	1980616716	1980619216
chr12	77322641	77325141	1980874288	1980876788
chr12	78861993	78864493	1982413640	1982416140
chr12	79690464	79692964	1983242111	1983244611
chr12	79934960	79937460	1983486607	1983489107
chr12	80097537	80100037	1983649184	1983651684
chr12	80400178	80402678	1983951825	1983954325
chr12	80705634	80708134	1984257281	1984259781
chr12	80714912	80717412	1984266559	1984269059
chr12	80934414	80936914	1984486061	1984488561
chr12	80937434	80939934	1984489081	1984491581
chr12	81759053	81761553	1985310700	1985313200
chr12	82356528	82360805	1985908175	1985912452
chr12	82684880	82687380	1986236527	1986239027
chr12	84913129	84915629	1988464776	1988467276
chr12	85034314	85038277	1988585961	1988589924
chr12	85278220	85280720	1988829867	1988832367
chr12	85835909	85838409	1989387556	1989390056
chr12	85872295	85874795	1989423942	1989426442
chr12	86838404	86840904	1990390051	1990392551
chr12	88031846	88036037	1991583493	1991587684
chr12	88140296	88144099	1991691943	1991695746
chr12	88580351	88582851	1992131998	1992134498
chr12	89352001	89354501	1992903648	1992906148
chr12	89524296	89528262	1993075943	1993079909
chr12	89708866	89711366	1993260513	1993263013
chr12	90954676	90957176	1994506323	1994508823
chr12	91004526	91007026	1994556173	1994558673
chr12	91057524	91060024	1994609171	1994611671
chr12	91110994	91113494	1994662641	1994665141
chr12	91182717	91185217	1994734364	1994736864
chr12	92145346	92147846	1995696993	1995699493
chr12	92700843	92703343	1996252490	1996254990
chr12	92928831	92931331	1996480478	1996482978
chr12	93375883	93378383	1996927530	1996930030
chr12	93441447	93443947	1996993094	1996995594
chr12	93465514	93468014	1997017161	1997019661
chr12	93567814	93570314	1997119461	1997121961
chr12	93675375	93677875	1997227022	1997229522
chr12	94146577	94149077	1997698224	1997700724
chr12	94459488	94461988	1998011135	1998013635
chr12	94650057	94652557	1998201704	1998204204
chr12	95003248	95005748	1998554895	1998557395
chr12	95073128	95075628	1998624775	1998627275
chr12	95215746	95219482	1998767393	1998771129
chr12	95471520	95474020	1999023167	1999025667
chr12	95550976	95553476	1999102623	1999105123
chr12	95790689	95793189	1999342336	1999344836
chr12	95856952	95859452	1999408599	1999411099
chr12	95941331	95944635	1999492978	1999496282
chr12	95995865	95998365	1999547512	1999550012
chr12	96043020	96045520	1999594667	1999597167
chr12	96192375	96194875	1999744022	1999746522
chr12	96399980	96402480	1999951627	1999954127
chr12	96487571	96490071	2000039218	2000041718
chr12	96905224	96907724	2000456871	2000459371
chr12	98513579	98516079	2002065226	2002067726
chr12	98591591	98594091	2002143238	2002145738
chr12	98643290	98647113	2002194937	2002198760
chr12	99645753	99648253	2003197400	2003199900
chr12	99984436	99986936	2003536083	2003538583
chr12	100142374	100144874	2003694021	2003696521
chr12	100197122	100199622	2003748769	2003751269
chr12	100265140	100269079	2003816787	2003820726
chr12	100355074	100357574	2003906721	2003909221
chr12	100471708	100474208	2004023355	2004025855
chr12	100571683	100574183	2004123330	2004125830
chr12	100715526	100718026	2004267173	2004269673
chr12	101209738	101212238	2004761385	2004763885
chr12	101278105	101280605	2004829752	2004832252
chr12	101407272	101409772	2004958919	2004961419
chr12	101473336	101475836	2005024983	2005027483
chr12	101566353	101568853	2005118000	2005120500
chr12	101694947	101697447	2005246594	2005249094
chr12	101738972	101741472	2005290619	2005293119
chr12	101830459	101832959	2005382106	2005384606
chr12	101875580	101878080	2005427227	2005429727
chr12	102061649	102064149	2005613296	2005615796
chr12	102118183	102122120	2005669830	2005673767
chr12	102197333	102199833	2005748980	2005751480
chr12	102481244	102483744	2006032891	2006035391
chr12	102955674	102960410	2006507321	2006512057
chr12	103495478	103497978	2007047125	2007049625
chr12	103585273	103587773	2007136920	2007139420
chr12	103840734	103843234	2007392381	2007394881
chr12	103928107	103930607	2007479754	2007482254
chr12	103963822	103967708	2007515469	2007519355
chr12	104062531	104066183	2007614178	2007617830
chr12	104137741	104140241	2007689388	2007691888
chr12	104213779	104216279	2007765426	2007767926
chr12	104301739	104304239	2007853386	2007855886
chr12	104453295	104455795	2008004942	2008007442
chr12	104958244	104960744	2008509891	2008512391
chr12	104984316	104986816	2008535963	2008538463
chr12	105105324	105109643	2008656971	2008661290
chr12	105233290	105238203	2008784937	2008789850
chr12	106138454	106140954	2009690101	2009692601
chr12	106299929	106302429	2009851576	2009854076
chr12	106303779	106306279	2009855426	2009857926
chr12	106355748	106358248	2009907395	2009909895
chr12	106581004	106583504	2010132651	2010135151
chr12	106772621	106775121	2010324268	2010326768
chr12	106953719	106956219	2010505366	2010507866
chr12	106986660	106989160	2010538307	2010540807
chr12	107093049	107095549	2010644696	2010647196
chr12	107316421	107318921	2010868068	2010870568
chr12	107683799	107686299	2011235446	2011237946
chr12	107760772	107763272	2011312419	2011314919
chr12	107772704	107775204	2011324351	2011326851
chr12	108127288	108129788	2011678935	2011681435
chr12	108338817	108341317	2011890464	2011892964
chr12	108513277	108515777	2012064924	2012067424
chr12	108560582	108563400	2012112229	2012115047
chr12	108597820	108600320	2012149467	2012151967
chr12	108633394	108635894	2012185041	2012187541
chr12	108731026	108733526	2012282673	2012285173
chr12	108856932	108859590	2012408579	2012411237
chr12	109020568	109023589	2012572215	2012575236
chr12	109093131	109098097	2012644778	2012649744
chr12	109114587	109117087	2012666234	2012668734
chr12	109308784	109311284	2012860431	2012862931
chr12	109345900	109348400	2012897547	2012900047
chr12	109475402	109479359	2013027049	2013031006
chr12	109571255	109575580	2013122902	2013127227
chr12	109711825	109714325	2013263472	2013265972
chr12	109832906	109835406	2013384553	2013387053
chr12	109880041	109882541	2013431688	2013434188
chr12	109898264	109900764	2013449911	2013452411
chr12	109995889	109999686	2013547536	2013551333
chr12	110073136	110075636	2013624783	2013627283
chr12	110122335	110124835	2013673982	2013676482
chr12	110278756	110281256	2013830403	2013832903
chr12	110403230	110405730	2013954877	2013957377
chr12	110449922	110452422	2014001569	2014004069
chr12	110466415	110471268	2014018062	2014022915
chr12	110499655	110504111	2014051302	2014055758
chr12	110582818	110585318	2014134465	2014136965
chr12	110612027	110614527	2014163674	2014166174
chr12	110704450	110706950	2014256097	2014258597
chr12	110742439	110744939	2014294086	2014296586
chr12	110844769	110847269	2014396416	2014398916
chr12	110920943	110923443	2014472590	2014475090
chr12	111032165	111034665	2014583812	2014586312
chr12	111368621	111371121	2014920268	2014922768
chr12	111403923	111406423	2014955570	2014958070
chr12	111599176	111601676	2015150823	2015153323
chr12	111684053	111687956	2015235700	2015239603
chr12	111751890	111754390	2015303537	2015306037
chr12	111764887	111767387	2015316534	2015319034
chr12	111840013	111842737	2015391660	2015394384
chr12	112011348	112015185	2015562995	2015566832
chr12	112108296	112110796	2015659943	2015662443
chr12	112123538	112126038	2015675185	2015677685
chr12	112381939	112384439	2015933586	2015936086
chr12	112416351	112420838	2015967998	2015972485
chr12	112568380	112570880	2016120027	2016122527
chr12	112903856	112906356	2016455503	2016458003
chr12	112936051	112938551	2016487698	2016490198
chr12	112976395	112978895	2016528042	2016530542
chr12	113054730	113057230	2016606377	2016608877
chr12	113135739	113138239	2016687386	2016689886
chr12	113147724	113150224	2016699371	2016701871
chr12	113183526	113187479	2016735173	2016739126
chr12	113219050	113223094	2016770697	2016774741
chr12	113356566	113361493	2016908213	2016913140
chr12	113420380	113422880	2016972027	2016974527
chr12	113425801	113428301	2016977448	2016979948
chr12	113471780	113474280	2017023427	2017025927
chr12	113965825	113968325	2017517472	2017519972
chr12	114407942	114410442	2017959589	2017962089
chr12	114683675	114686175	2018235322	2018237822
chr12	116277193	116279693	2019828840	2019831340
chr12	116546105	116548605	2020097752	2020100252
chr12	116736178	116740070	2020287825	2020291717
chr12	116880941	116883441	2020432588	2020435088
chr12	116908950	116911450	2020460597	2020463097
chr12	117098979	117101479	2020650626	2020653126
chr12	117189970	117192470	2020741617	2020744117
chr12	117451670	117454170	2021003317	2021005817
chr12	117968490	117970990	2021520137	2021522637
chr12	118011588	118014088	2021563235	2021565735
chr12	118061930	118064430	2021613577	2021616077
chr12	118134124	118138026	2021685771	2021689673
chr12	118372407	118377055	2021924054	2021928702
chr12	118979541	118982041	2022531188	2022533688
chr12	119169555	119172055	2022721202	2022723702
chr12	119332712	119335212	2022884359	2022886859
chr12	119591774	119594274	2023143421	2023145921
chr12	119665864	119668364	2023217511	2023220011
chr12	119876820	119879320	2023428467	2023430967
chr12	119987236	119989736	2023538883	2023541383
chr12	120117002	120119502	2023668649	2023671149
chr12	120194215	120196715	2023745862	2023748362
chr12	120200735	120203235	2023752382	2023754882
chr12	120265271	120267771	2023816918	2023819418
chr12	120300316	120302816	2023851963	2023854463
chr12	120327279	120329779	2023878926	2023881426
chr12	120368664	120371164	2023920311	2023922811
chr12	120436090	120438698	2023987737	2023990345
chr12	120444444	120448384	2023996091	2024000031
chr12	120467850	120470350	2024019497	2024021997
chr12	120495446	120497946	2024047093	2024049593
